"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D"," +EI TIC Scan 001-CoTXSS1.D "
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"1" ,3.129,3.162,3.203,231262.67,286849.74,2.73,4.21,0.23,0.074,0.018,312253.00,311516.33,3.112,3.129,3.195,3.228,311516.33,311516.33,1.27,542779.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"2" ,3.253,3.269,3.298,299622.95,312070.53,2.97,5.46,0.25,0.046,0.017,318880.00,306664.81,3.253,3.261,3.303,3.327,308485.64,306664.81,2.14,607448.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"3" ,3.331,3.360,3.402,845229.57,1617988.21,15.40,15.39,1.31,0.071,0.027,305369.95,332185.00,3.303,3.327,3.394,3.402,305369.95,302540.93,1.46,1149422.00,,,  ,140.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"4" ,3.402,3.418,3.435,197745.00,187779.68,1.79,3.60,0.15,0.033,0.017,332185.00,301229.23,3.394,3.402,3.427,3.435,302540.93,301229.23,0.52,499626.00,,,  ,147.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"5" ,3.544,3.559,3.584,460416.41,455249.18,4.33,8.39,0.37,0.040,0.016,296854.23,327907.00,3.534,3.543,3.584,3.592,296854.23,295275.69,1.85,756683.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"6" ,3.584,3.625,3.667,269625.13,493730.33,4.70,4.91,0.40,0.083,0.019,327907.00,315140.00,3.584,3.592,3.659,3.659,295275.69,291973.37,0.98,563250.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"7" ,3.667,3.692,3.717,582212.86,856600.71,8.16,10.60,0.69,0.050,0.022,315140.00,350866.00,3.659,3.659,3.708,3.717,291973.37,289992.25,1.10,873196.00,,,  ,110.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"8" ,3.717,3.733,3.754,280182.35,361008.33,3.44,5.10,0.29,0.038,0.022,350866.00,288483.92,3.708,3.717,3.758,3.775,289992.25,288483.92,0.68,569514.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"9" ,3.783,3.799,3.826,718308.08,595072.51,5.67,13.08,0.48,0.042,0.013,287324.97,285637.99,3.758,3.775,3.857,3.874,287324.97,285637.99,1.16,1004998.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"10" ,3.951,3.982,4.053,2673921.31,3919714.31,37.32,48.70,3.16,0.101,0.019,280637.81,276592.81,3.915,3.940,4.048,4.056,280637.81,276592.81,2.84,2953346.00,,,  ,68.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"11" ,4.057,4.089,4.128,362918.53,578672.14,5.51,6.61,0.47,0.071,0.027,276417.80,273594.38,4.048,4.056,4.139,4.147,276417.80,273594.38,0.54,638050.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"12" ,4.156,4.172,4.197,622491.85,505797.70,4.82,11.34,0.41,0.041,0.015,272471.22,271498.00,4.139,4.147,4.189,4.205,272471.22,270838.25,0.98,894321.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"13" ,4.214,4.230,4.287,572719.28,847516.84,8.07,10.43,0.68,0.074,0.014,281944.00,267238.82,4.189,4.205,4.296,4.313,270177.65,267238.82,1.28,842237.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"14" ,4.319,4.354,4.396,664132.09,864596.48,8.23,12.10,0.70,0.076,0.018,265963.42,262915.10,4.296,4.313,4.387,4.437,265963.42,262915.10,0.81,928696.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"15" ,4.529,4.545,4.559,186166.63,119768.43,1.14,3.39,0.10,0.029,0.012,257586.73,256414.56,4.520,4.528,4.586,4.594,257586.73,256414.56,0.89,443135.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"16" ,4.638,4.669,4.691,1064772.76,1002352.86,9.54,19.39,0.81,0.053,0.014,252869.17,250760.07,4.628,4.636,4.694,4.702,252869.17,250760.07,1.02,1316413.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"17" ,4.744,4.760,4.815,748105.36,1030041.84,9.81,13.62,0.83,0.071,0.024,247048.69,243449.45,4.694,4.702,4.810,4.826,247048.69,243449.45,2.25,994322.00,,,  ,219.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"18" ,4.859,4.884,4.917,5490715.89,6440167.20,61.31,100.00,5.20,0.058,0.018,289981.00,352774.00,4.810,4.826,4.909,4.926,241193.99,238263.61,0.76,5730654.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"19" ,4.917,4.951,4.965,298887.04,475135.88,4.52,5.44,0.38,0.047,0.022,352774.00,235873.21,4.909,4.926,5.009,5.025,238263.61,235873.21,0.24,535477.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"20" ,5.091,5.108,5.154,3833976.48,3582692.71,34.11,69.83,2.89,0.063,0.014,368978.00,240610.56,5.009,5.025,5.166,5.182,242092.52,240610.56,1.02,4075679.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"21" ,5.184,5.199,5.216,289892.02,206170.07,1.96,5.28,0.17,0.032,0.015,242364.68,242548.82,5.166,5.182,5.232,5.257,242364.68,242548.82,1.05,532346.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"22" ,5.263,5.282,5.319,107412.29,216237.73,2.06,1.96,0.17,0.056,0.041,242824.03,243145.97,5.232,5.257,5.323,5.340,242824.03,243145.97,2.14,350343.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"23" ,5.346,5.356,5.385,125391.24,119753.52,1.14,2.28,0.10,0.039,0.012,243297.71,243524.25,5.323,5.340,5.398,5.406,243297.71,243524.25,3.18,368751.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"24" ,5.439,5.456,5.497,1743895.73,1639748.84,15.61,31.76,1.32,0.058,0.014,231487.94,253775.00,5.398,5.406,5.489,5.505,231487.94,233278.22,1.49,1975894.00,,,  ,143.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"25" ,5.497,5.539,5.555,2610063.30,2759630.58,26.27,47.54,2.23,0.058,0.017,253775.00,273320.00,5.489,5.505,5.555,5.563,233278.22,235070.89,0.73,2844622.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"26" ,5.588,5.638,5.679,4131950.69,6928160.94,65.96,75.25,5.59,0.091,0.019,304369.00,453383.00,5.555,5.563,5.671,5.713,236094.75,238911.27,0.57,4369582.00,,,  ,75.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"27" ,5.704,5.729,5.770,3442101.16,3476322.60,33.10,62.69,2.81,0.066,0.014,488055.00,296557.00,5.671,5.713,5.762,5.787,239679.56,241727.80,0.95,3682549.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"28" ,5.787,5.804,5.819,341718.83,342836.62,3.26,6.22,0.28,0.032,0.017,282322.00,243217.21,5.762,5.787,5.820,5.828,242239.99,243217.21,0.25,584471.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"29" ,5.930,5.953,6.002,2855386.33,3024426.08,28.79,52.00,2.44,0.073,0.014,242822.55,246956.00,5.862,5.886,6.002,6.011,242822.55,245832.22,1.46,3099164.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"30" ,6.069,6.102,6.127,147805.37,239928.65,2.28,2.69,0.19,0.058,0.039,248572.74,252230.00,6.044,6.060,6.151,6.176,248572.74,250967.22,0.72,397746.00,,,  ,71.1,,,,,,,,,,,
