"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"1" ,3.095,3.128,3.204,20213.29,89406.36,2.35,5.12,1.26,0.108,0.066,185625.00,153266.99,3.095,3.128,3.228,3.244,177155.79,153266.99,1.38,190074.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"2" ,3.534,3.559,3.650,82136.00,215257.77,5.66,20.80,3.02,0.116,0.022,80671.00,77015.00,3.468,3.543,3.617,3.683,80514.31,54985.19,2.70,157179.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"3" ,6.474,6.499,6.574,45325.81,59033.07,1.55,11.48,0.83,0.099,0.018,66991.26,69463.00,6.184,6.458,6.524,6.582,66991.26,68212.73,1.56,112622.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"4" ,6.590,6.623,6.723,394923.35,644330.92,16.94,100.00,9.05,0.133,0.020,76174.00,85045.00,6.524,6.582,6.739,6.830,71686.46,77570.50,2.97,468081.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"5" ,7.007,7.037,7.062,173392.61,229920.58,6.04,43.91,3.23,0.055,0.020,82282.68,89379.00,6.739,6.830,7.054,7.071,82282.68,82067.77,0.85,255557.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"6" ,7.062,7.087,7.145,348815.84,601175.57,15.80,88.32,8.44,0.083,0.021,89379.00,96316.00,7.054,7.071,7.137,7.145,82067.77,81745.80,3.06,430787.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"7" ,7.145,7.162,7.228,93906.61,154876.22,4.07,23.78,2.17,0.083,0.022,96316.00,82614.00,7.137,7.145,7.369,7.534,81745.80,81423.82,1.55,175588.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"8" ,7.700,7.725,7.770,111618.61,149322.13,3.93,28.26,2.10,0.070,0.021,82250.00,80315.20,7.592,7.700,7.766,8.271,79942.53,80315.20,1.34,191693.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"9" ,8.412,8.445,8.501,109186.94,176738.25,4.65,27.65,2.48,0.089,0.026,83158.25,83860.93,7.766,8.271,8.768,9.216,83158.25,83860.93,0.93,192605.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"10" ,9.217,9.257,9.330,79110.25,165774.53,4.36,20.03,2.33,0.112,0.032,83734.66,83587.38,8.768,9.216,9.298,9.895,83734.66,83587.38,1.16,162793.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"11" ,10.110,10.185,10.267,60015.87,204839.55,5.38,15.20,2.88,0.157,0.042,91438.00,96882.00,9.298,9.895,10.251,10.317,90050.52,92131.28,2.13,151052.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"12" ,10.267,10.334,10.400,15268.42,60296.39,1.58,3.87,0.85,0.133,0.079,96882.00,94837.00,10.251,10.317,10.367,11.162,92131.28,93883.65,1.39,108276.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"13" ,11.179,11.220,11.292,28835.58,86314.98,2.27,7.30,1.21,0.113,0.044,100453.43,102383.91,10.367,11.162,11.278,11.559,100453.43,102383.91,1.94,129989.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"14" ,11.770,11.866,11.976,12597.32,86289.12,2.27,3.19,1.21,0.205,0.156,121101.55,134043.56,11.278,11.559,11.982,12.122,121101.55,134043.56,2.21,139706.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"15" ,12.121,12.222,12.270,10283.39,50834.14,1.34,2.60,0.71,0.149,0.120,133519.12,130623.31,11.982,12.122,12.272,12.338,133519.12,130623.31,0.42,141844.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"16" ,12.321,12.363,12.454,16403.22,60895.53,1.60,4.15,0.86,0.133,0.051,129181.00,123269.00,12.272,12.338,12.437,13.042,129181.00,123269.00,1.08,143737.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"17" ,12.967,13.588,13.638,12002.18,282389.42,7.42,3.04,3.97,0.671,0.355,119384.00,133559.00,12.437,13.042,13.621,13.820,119384.00,133559.00,0.14,144511.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"18" ,14.972,15.369,15.386,368999.00,3804211.37,100.00,93.44,53.42,0.414,0.191,340296.00,700741.00,13.621,13.820,15.377,15.419,340296.00,340296.00,0.16,709295.00,,,  ,207.1,,,,,,,,,,,

"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D"," +EI TIC Scan 049-Co7-1.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D"," +EI TIC Scan 049-Co7-1.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"1" ,3.151,3.170,3.187,245251.60,260169.72,2.22,4.64,0.22,0.036,0.018,313409.40,314726.00,3.112,3.145,3.220,3.220,313409.40,313409.40,0.85,558661.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"2" ,3.228,3.245,3.253,183710.67,185172.26,1.58,3.48,0.15,0.025,0.016,288202.00,319323.00,3.220,3.220,3.253,3.311,288202.00,319323.00,0.53,492660.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"3" ,3.311,3.336,3.355,787653.95,677055.12,5.78,14.91,0.56,0.044,0.013,318203.68,316839.16,3.253,3.311,3.360,3.369,318203.68,316839.16,0.88,1105101.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\049-Co7-1.D" ,"4" ,3.369,3.385,3.402,721060.58,474594.07,4.05,13.65,0.39,0.032,0.012,316402.65,315413.53,3.360,3.369,3.427,3.435,316402.65,315413.53,0.95,1036976.00,,,  ,71.1,,,,,,,,,,,
