,Friedelin,Psi,Tara,Psi-Taraxasterol-relative,Taraxasterol-relative
CoTXSS-1,5993243.45,10503449.3,4203265.31,5.746060372,2.299455688
CoTXSS-2,5611402.86,4458020.91,1445061.05,2.604778585,0.844335222
CoTXSS-3,5893490.37,7560488.99,2066080.44,4.206079409,1.14940957
Negative-1,2460515.22,0,0,0,0
Negative-2,6033472.01,0,0,0,0
Negative-3,7579007.87,0,0,0,0
Negative-4,7358811.84,0,0,0,0
Negative-5,7741178.67,0,0,0,0
Negative-6,6702433.77,0,0,0,0
CoTXSS-4,6544970.71,7908197.81,2786089.82,3.961594109,1.395685501
CoTXSS-5,6655779.85,15657933.68,4950778.91,7.713218981,2.438791902
CoTXSS-6,5392447.14,9737269.95,2831558.83,5.920405786,1.721630125
Co1-1,6140834.23,4360590.19,3528131.84,2.328188074,1.883725394
Co1-2,5777291.52,3505339.81,2893699.31,1.989326204,1.642212218
Co1-3,7313803,4496870.8,3648103,2.015892237,1.635400002
Co1-4,6950121.78,4880238.83,4138288.05,2.302230602,1.952218676
Co1-5,6971739.45,5964135.88,5085820.92,2.804829987,2.391773647
Co1-6,6237506.16,11202200,10093765.94,5.8883348,5.305696493
Co2-1,5927854.69,365463.27,688389.14,0.202137247,0.380747115
Co2-2,7616817.55,450461.66,890593.98,0.193902961,0.383359617
Co2-3,6903481.07,612278.31,648387.97,0.290790957,0.307940614
Co2-4,7443135.02,549538.83,1439442.2,0.242070935,0.634071881
Co2-5,6165950.38,413102.76,921319.36,0.219663668,0.489903263
Co2-6,6154487.43,468990.07,1132157.62,0.249845723,0.603135881
Co3-1,6277377.4,7896922.61,1980996.76,4.124580679,1.034679123
Co3-2,6647329.85,8187147.27,1981708.84,4.038178699,0.977446009
Co3-3,5863181.49,11999690.47,2816886.38,6.710221662,1.575201632
Co3-4,7309811.83,13148174.85,3439606.64,5.897384365,1.54277553
Co3-5,6259714.55,10003631.15,2668434.64,5.239662351,1.39766214
Co3-6,7125711.95,12718973.37,3550315.08,5.852264633,1.633573935
Co4-1,2317406.87,4147764.05,876739.7,5.868294674,1.24041938
